scenario,version,month,month_numeric,average_inflow_proj
rcp85,HadGEM2-ES,Oct,10,256.3555226
rcp85,HadGEM2-ES,Nov,11,584.265894
rcp85,HadGEM2-ES,Dec,12,932.4212807
rcp85,HadGEM2-ES,Jan,1,1531.888229
rcp85,HadGEM2-ES,Feb,2,2185.175197
rcp85,HadGEM2-ES,Mar,3,2660.875936
rcp85,HadGEM2-ES,Apr,4,3992.413458
rcp85,HadGEM2-ES,May,5,5891.552878
rcp85,HadGEM2-ES,Jun,6,4247.120351
rcp85,HadGEM2-ES,Jul,7,1761.458183
rcp85,HadGEM2-ES,Aug,8,542.0322242
rcp85,HadGEM2-ES,Sep,9,311.2356981
rcp85,CNRM-CM5,Oct,10,358.3047918
rcp85,CNRM-CM5,Nov,11,1020.76752
rcp85,CNRM-CM5,Dec,12,1832.226454
rcp85,CNRM-CM5,Jan,1,3452.624408
rcp85,CNRM-CM5,Feb,2,3888.40701
rcp85,CNRM-CM5,Mar,3,5290.476024
rcp85,CNRM-CM5,Apr,4,6518.640965
rcp85,CNRM-CM5,May,5,8774.548883
rcp85,CNRM-CM5,Jun,6,6348.353751
rcp85,CNRM-CM5,Jul,7,2531.017036
rcp85,CNRM-CM5,Aug,8,747.7359434
rcp85,CNRM-CM5,Sep,9,433.9755987
rcp85,CanESM2,Oct,10,290.7639666
rcp85,CanESM2,Nov,11,895.5088021
rcp85,CanESM2,Dec,12,1917.437316
rcp85,CanESM2,Jan,1,3083.235703
rcp85,CanESM2,Feb,2,3679.813373
rcp85,CanESM2,Mar,3,4543.775415
rcp85,CanESM2,Apr,4,6195.924111
rcp85,CanESM2,May,5,7737.976895
rcp85,CanESM2,Jun,6,5315.481283
rcp85,CanESM2,Jul,7,2191.171149
rcp85,CanESM2,Aug,8,622.3793206
rcp85,CanESM2,Sep,9,359.0654309
rcp85,MIROC5,Oct,10,212.533736
rcp85,MIROC5,Nov,11,480.2178548
rcp85,MIROC5,Dec,12,931.1520704
rcp85,MIROC5,Jan,1,1434.092659
rcp85,MIROC5,Feb,2,2035.287091
rcp85,MIROC5,Mar,3,2713.535211
rcp85,MIROC5,Apr,4,3847.79991
rcp85,MIROC5,May,5,5734.249495
rcp85,MIROC5,Jun,6,4252.470938
rcp85,MIROC5,Jul,7,1516.272363
rcp85,MIROC5,Aug,8,383.3780565
rcp85,MIROC5,Sep,9,208.7384617
rcp85,Observed,Oct,10,390.4448445
rcp85,Observed,Nov,11,507.9726865
rcp85,Observed,Dec,12,977.2952773
rcp85,Observed,Jan,1,1816.554499
rcp85,Observed,Feb,2,1611.472358
rcp85,Observed,Mar,3,2695.252593
rcp85,Observed,Apr,4,4043.273278
rcp85,Observed,May,5,7260.696552
rcp85,Observed,Jun,6,6236.074627
rcp85,Observed,Jul,7,3070.710666
rcp85,Observed,Aug,8,850.3021057
rcp85,Observed,Sep,9,321.0324277
rcp45,HadGEM2-ES,Oct,10,302.1203655
rcp45,HadGEM2-ES,Nov,11,734.4944784
rcp45,HadGEM2-ES,Dec,12,1224.493081
rcp45,HadGEM2-ES,Jan,1,1688.114928
rcp45,HadGEM2-ES,Feb,2,2163.767041
rcp45,HadGEM2-ES,Mar,3,2869.387944
rcp45,HadGEM2-ES,Apr,4,4311.349527
rcp45,HadGEM2-ES,May,5,6011.032029
rcp45,HadGEM2-ES,Jun,6,4761.320742
rcp45,HadGEM2-ES,Jul,7,2287.633948
rcp45,HadGEM2-ES,Aug,8,665.7885081
rcp45,HadGEM2-ES,Sep,9,378.0061707
rcp45,CNRM-CM5,Oct,10,370.537487
rcp45,CNRM-CM5,Nov,11,1103.675913
rcp45,CNRM-CM5,Dec,12,1951.844985
rcp45,CNRM-CM5,Jan,1,3559.326735
rcp45,CNRM-CM5,Feb,2,4078.34495
rcp45,CNRM-CM5,Mar,3,5188.817778
rcp45,CNRM-CM5,Apr,4,7027.598125
rcp45,CNRM-CM5,May,5,9363.663981
rcp45,CNRM-CM5,Jun,6,7199.954832
rcp45,CNRM-CM5,Jul,7,3007.934062
rcp45,CNRM-CM5,Aug,8,827.9400644
rcp45,CNRM-CM5,Sep,9,479.9926216
rcp45,CanESM2,Oct,10,304.6965733
rcp45,CanESM2,Nov,11,711.8623331
rcp45,CanESM2,Dec,12,1409.688133
rcp45,CanESM2,Jan,1,2203.101452
rcp45,CanESM2,Feb,2,2616.628444
rcp45,CanESM2,Mar,3,3569.176514
rcp45,CanESM2,Apr,4,4930.151135
rcp45,CanESM2,May,5,6896.996917
rcp45,CanESM2,Jun,6,5068.239713
rcp45,CanESM2,Jul,7,2313.353656
rcp45,CanESM2,Aug,8,660.3588909
rcp45,CanESM2,Sep,9,357.083504
rcp45,MIROC5,Oct,10,306.5416267
rcp45,MIROC5,Nov,11,680.9307535
rcp45,MIROC5,Dec,12,1254.902393
rcp45,MIROC5,Jan,1,1927.516745
rcp45,MIROC5,Feb,2,2294.109748
rcp45,MIROC5,Mar,3,2911.199313
rcp45,MIROC5,Apr,4,3980.53452
rcp45,MIROC5,May,5,5883.888399
rcp45,MIROC5,Jun,6,4498.720825
rcp45,MIROC5,Jul,7,1935.122364
rcp45,MIROC5,Aug,8,579.2156486
rcp45,MIROC5,Sep,9,341.2128085
rcp45,Observed,Oct,10,390.4448445
rcp45,Observed,Nov,11,507.9726865
rcp45,Observed,Dec,12,977.2952773
rcp45,Observed,Jan,1,1816.554499
rcp45,Observed,Feb,2,1611.472358
rcp45,Observed,Mar,3,2695.252593
rcp45,Observed,Apr,4,4043.273278
rcp45,Observed,May,5,7260.696552
rcp45,Observed,Jun,6,6236.074627
rcp45,Observed,Jul,7,3070.710666
rcp45,Observed,Aug,8,850.3021057
rcp45,Observed,Sep,9,321.0324277
